,Unnamed: 0,name,address,unit,sqft,bed,bath,price,city,state,zipcode,description,details,url,date
10,10,Greenpoint Rentals Apartments,21 India St,Unit T.808,,Studio,1ba,"Contact$2,418",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
11,11,Greenpoint Rentals Apartments,21 India St,1 Bed 1.0 Bath,,1bd,1ba,"$3,275 - $3,643",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
12,12,Greenpoint Rentals Apartments,21 India St,Unit T.702,,1bd,1ba,"Contact$3,275",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
13,13,Greenpoint Rentals Apartments,21 India St,Unit T.1710,,1bd,1ba,"Contact$3,643",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
14,14,Greenpoint Rentals Apartments,21 India St,Unit S.205,,1bd,1ba,"Contact$3,275",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
15,15,Greenpoint Rentals Apartments,21 India St,2 Bed 2.0 Bath,,2bd,2ba,"$4,629 - $5,055",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
16,16,Greenpoint Rentals Apartments,21 India St,Unit T.2412,,2bd,2ba,"Contact$5,055",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
17,17,Greenpoint Rentals Apartments,21 India St,Unit T.904,,2bd,2ba,"Contact$4,629",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
18,18,Greenpoint Rentals Apartments,21 India St,Unit S.402,,2bd,2ba,"Contact$4,818",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
19,19,Greenpoint Rentals Apartments,21 India St,3 Bed 2.0 Bath,,3bd,2ba,"$5,623",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
20,20,Greenpoint Rentals Apartments,21 India St,Unit T.614,,3bd,2ba,"Contact$5,623",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
21,21,Leonard Pointe Apartments,395 Leonard St,Studio 1.0 Bath,434-445 sqft,Studio,1ba,"$2,258 - $2,537",Brooklyn,NY,11211,"Located in Brooklyn's coveted Williamsburg neighborhood, Leonard Pointe apartments feature unique amenities and stylish finishes.Located near McCarren Park, minutes from the L and the G Trains, Leonard Pointe situates residents in the heart of Brooklyn living, offering easy access to dining, shopping, arts, and entertainment. In-home standards like stainless steel appliances, high ceilings, and private balconies provide the high style of living residents expect. Unparalleled community features - including a state-of-the-art fitness center, screening room, and a rooftop lounge - provide for a luxury lifestyle and make any resident delighted to return home. Experience the best of luxury apartment living in Williamsburg. Schedule your personal tour today! We are currently offering self-guided tours and virtual appointments.Lease Details: 6 - 13 month lease terms availableApplication Fee: 20.00","Heating: Forced Air, Other ,Days on Market: 27 Days on Trulia ,Year Built: 2015 ,Property Type: Apartment ,Additional Storage ,Laundry Facilities ,Fireplace ,Elevator ,Balcony ,Assigned Parking Space ,Garage ,Parking: Garage Detached ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/leonard-pointe-395-leonard-st-brooklyn-ny-11211--2009657021,2020-11-17
22,22,Leonard Pointe Apartments,395 Leonard St,Unit 533,434 sqft,Studio,1ba,"Contact$2,537",Brooklyn,NY,11211,"Located in Brooklyn's coveted Williamsburg neighborhood, Leonard Pointe apartments feature unique amenities and stylish finishes.Located near McCarren Park, minutes from the L and the G Trains, Leonard Pointe situates residents in the heart of Brooklyn living, offering easy access to dining, shopping, arts, and entertainment. In-home standards like stainless steel appliances, high ceilings, and private balconies provide the high style of living residents expect. Unparalleled community features - including a state-of-the-art fitness center, screening room, and a rooftop lounge - provide for a luxury lifestyle and make any resident delighted to return home. Experience the best of luxury apartment living in Williamsburg. Schedule your personal tour today! We are currently offering self-guided tours and virtual appointments.Lease Details: 6 - 13 month lease terms availableApplication Fee: 20.00","Heating: Forced Air, Other ,Days on Market: 27 Days on Trulia ,Year Built: 2015 ,Property Type: Apartment ,Additional Storage ,Laundry Facilities ,Fireplace ,Elevator ,Balcony ,Assigned Parking Space ,Garage ,Parking: Garage Detached ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/leonard-pointe-395-leonard-st-brooklyn-ny-11211--2009657021,2020-11-17
23,23,Leonard Pointe Apartments,395 Leonard St,Unit 529,445 sqft,Studio,1ba,"Contact$2,258",Brooklyn,NY,11211,"Located in Brooklyn's coveted Williamsburg neighborhood, Leonard Pointe apartments feature unique amenities and stylish finishes.Located near McCarren Park, minutes from the L and the G Trains, Leonard Pointe situates residents in the heart of Brooklyn living, offering easy access to dining, shopping, arts, and entertainment. In-home standards like stainless steel appliances, high ceilings, and private balconies provide the high style of living residents expect. Unparalleled community features - including a state-of-the-art fitness center, screening room, and a rooftop lounge - provide for a luxury lifestyle and make any resident delighted to return home. Experience the best of luxury apartment living in Williamsburg. Schedule your personal tour today! We are currently offering self-guided tours and virtual appointments.Lease Details: 6 - 13 month lease terms availableApplication Fee: 20.00","Heating: Forced Air, Other ,Days on Market: 27 Days on Trulia ,Year Built: 2015 ,Property Type: Apartment ,Additional Storage ,Laundry Facilities ,Fireplace ,Elevator ,Balcony ,Assigned Parking Space ,Garage ,Parking: Garage Detached ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/leonard-pointe-395-leonard-st-brooklyn-ny-11211--2009657021,2020-11-17
24,24,Leonard Pointe Apartments,395 Leonard St,1 Bed 1.0 Bath,596-680 sqft,1bd,1ba,"$2,742 - $3,482",Brooklyn,NY,11211,"Located in Brooklyn's coveted Williamsburg neighborhood, Leonard Pointe apartments feature unique amenities and stylish finishes.Located near McCarren Park, minutes from the L and the G Trains, Leonard Pointe situates residents in the heart of Brooklyn living, offering easy access to dining, shopping, arts, and entertainment. In-home standards like stainless steel appliances, high ceilings, and private balconies provide the high style of living residents expect. Unparalleled community features - including a state-of-the-art fitness center, screening room, and a rooftop lounge - provide for a luxury lifestyle and make any resident delighted to return home. Experience the best of luxury apartment living in Williamsburg. Schedule your personal tour today! We are currently offering self-guided tours and virtual appointments.Lease Details: 6 - 13 month lease terms availableApplication Fee: 20.00","Heating: Forced Air, Other ,Days on Market: 27 Days on Trulia ,Year Built: 2015 ,Property Type: Apartment ,Additional Storage ,Laundry Facilities ,Fireplace ,Elevator ,Balcony ,Assigned Parking Space ,Garage ,Parking: Garage Detached ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/leonard-pointe-395-leonard-st-brooklyn-ny-11211--2009657021,2020-11-17
25,25,Leonard Pointe Apartments,395 Leonard St,Unit 416,680 sqft,1bd,1ba,"Contact$3,407",Brooklyn,NY,11211,"Located in Brooklyn's coveted Williamsburg neighborhood, Leonard Pointe apartments feature unique amenities and stylish finishes.Located near McCarren Park, minutes from the L and the G Trains, Leonard Pointe situates residents in the heart of Brooklyn living, offering easy access to dining, shopping, arts, and entertainment. In-home standards like stainless steel appliances, high ceilings, and private balconies provide the high style of living residents expect. Unparalleled community features - including a state-of-the-art fitness center, screening room, and a rooftop lounge - provide for a luxury lifestyle and make any resident delighted to return home. Experience the best of luxury apartment living in Williamsburg. Schedule your personal tour today! We are currently offering self-guided tours and virtual appointments.Lease Details: 6 - 13 month lease terms availableApplication Fee: 20.00","Heating: Forced Air, Other ,Days on Market: 27 Days on Trulia ,Year Built: 2015 ,Property Type: Apartment ,Additional Storage ,Laundry Facilities ,Fireplace ,Elevator ,Balcony ,Assigned Parking Space ,Garage ,Parking: Garage Detached ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/leonard-pointe-395-leonard-st-brooklyn-ny-11211--2009657021,2020-11-17
26,26,Leonard Pointe Apartments,395 Leonard St,Unit 202,639 sqft,1bd,1ba,"Contact$3,482",Brooklyn,NY,11211,"Located in Brooklyn's coveted Williamsburg neighborhood, Leonard Pointe apartments feature unique amenities and stylish finishes.Located near McCarren Park, minutes from the L and the G Trains, Leonard Pointe situates residents in the heart of Brooklyn living, offering easy access to dining, shopping, arts, and entertainment. In-home standards like stainless steel appliances, high ceilings, and private balconies provide the high style of living residents expect. Unparalleled community features - including a state-of-the-art fitness center, screening room, and a rooftop lounge - provide for a luxury lifestyle and make any resident delighted to return home. Experience the best of luxury apartment living in Williamsburg. Schedule your personal tour today! We are currently offering self-guided tours and virtual appointments.Lease Details: 6 - 13 month lease terms availableApplication Fee: 20.00","Heating: Forced Air, Other ,Days on Market: 27 Days on Trulia ,Year Built: 2015 ,Property Type: Apartment ,Additional Storage ,Laundry Facilities ,Fireplace ,Elevator ,Balcony ,Assigned Parking Space ,Garage ,Parking: Garage Detached ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/leonard-pointe-395-leonard-st-brooklyn-ny-11211--2009657021,2020-11-17
